出品者SKU	ASIN 1	商品名	商品の説明	出品ID	価格	数量	出品日	商品IDタイプ	コンディション説明	コンディション	国外へ配送可	迅速な配送	商品ID	在庫数	フルフィルメント・チャンネル	使用しない支払い方法	配送日時指定SKUリスト	merchant-shipping-group	ポイント	商品税コード	調達タイプ
1W-0KXS-16PP	B07MCRGSQ2	【Smart-KM】A092 iPhone 7/iPhone 7 Plus/iPhone 8/iPhone 8 Plus/iPhone X/iPhone Xs/iPhone Xs Max/iPhone XR対応 ケース クリアケース スマホケース 高機能 シリコン 超薄型 0.8mm 超軽量 防指紋 ５色 (iPhone XR, イエロー)		0913YSE9ANT	458	7	2021/09/14 07:05:32 JST	1		11			B07MCRGSQ2	0	DEFAULT			移行された配送パターン	5		INSTOCK
1W-OT81-6YJZ	B09NHN1572	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (110cm, キリン柄)		1212Y8JT99H	2480		2021/12/13 01:35:17 JST	3		11			703556069810		AMAZON_JP			移行された配送パターン	0		INSTOCK
1W-V35B-OQU4	B089Y42MCJ	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_21_point_0_centimeters)		0610XN3XJ2M	2380		2020/06/10 10:27:25 JST	3		11			703556068585		AMAZON_JP			移行された配送パターン	24		INSTOCK
1X-DIVO-2ZYZ	B088D9FFCY	【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (純色-男, L:15〜18cm(5-7歳))		0509XDQFCKW	1280		2020/05/09 20:27:37 JST	3		11			703556067892		AMAZON_JP			移行された配送パターン	13		INSTOCK
1Y-5L5D-QYMK	B093G8VPJL	【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, クマ2色セット)		0426YXGJC1X	1280		2021/04/26 10:46:27 JST	3		11			703556069308		AMAZON_JP			移行された配送パターン	13		INSTOCK
1Y-ZHNR-8I9D	B07RRJ26W4	【Smart-Bear】W008 子供の靴下 キッズ 夏 秋 綿 メッシュ素材 子供ソックス 男女兼用 スニーカー 運動 女の子 吸湿 通気 抗菌 通学 通園 5足セット (S)		0511VHV9NM4	1280		2019/05/11 23:23:47 JST	3		11			703556062880		AMAZON_JP			移行された配送パターン	13		INSTOCK
22-9KDS-HIZ1	B07RQ4M7ZG	【Smart-Bear】T009 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 小さな恐竜 (XL)		0510VDKX4H1	1480		2019/05/10 11:07:49 JST	3		11			703556062521		AMAZON_JP			移行された配送パターン	15		INSTOCK
22-BGZI-G4D5	B0782YMNPM	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)		0117YPCRAPY	1580		2021/01/17 21:14:43 JST	1		11			B0782YMNPM		AMAZON_JP			移行された配送パターン	16		INSTOCK
23-0YER-18BE	B07RTNMPDX	【Smart-Bear】W012 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (M)		0511VJS4WXX	1280		2019/05/11 23:51:50 JST	3		11			703556063016		AMAZON_JP			移行された配送パターン	13		INSTOCK
23-SVOF-WCB1	B07RQDXKKW	【Smart-Bear】W004 子供の靴下 動物柄 通学 通園 キッズ ソックス 女の子 ソックス カラーフル メッシュ素材 5足セット (L)		0511VH1QU3I	1480		2019/05/11 22:50:31 JST	3		11			703556062781		AMAZON_JP			移行された配送パターン	15		INSTOCK
