商品名	出品ID	出品者SKU	価格	数量	出品日	商品IDタイプ	コンディション説明	コンディション	国外へ配送可	迅速な配送	商品ID	在庫数	フルフィルメント・チャンネル	merchant-shipping-group
【Smart-Bear】W018 子供 ソックス 女の子 靴下キッズ ソックス 5足セット ガールズ お姫様 リボン ベビー シンプル 柔らかい 春 夏 秋 (L)	0611V5HLGDV	6J-QKBU-6SG4	1050		2019/06/11 11:43:09 JST	3		11			703556063535		AMAZON_JP	移行された配送パターン
【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XXXL, ピンク)	0607VZ0HG0B	6R-P7SR-5Z4X	1780		2019/06/08 08:40:31 JST	3		11			703556063467		AMAZON_JP	移行された配送パターン
【Smart-Bear】W011 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (S)	0511VKTT112	6W-YIXA-ZQ6P	1050		2019/05/11 23:44:23 JST	3		11			703556062972		AMAZON_JP	移行された配送パターン
【Smart-KM】T001 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, S)	0509VEK7V5F	6Z-HWUF-VHZ9	1580		2019/05/09 23:13:17 JST	1		11			B0784YYFKX		AMAZON_JP	移行された配送パターン
【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XXXL, イエロー)	0607V0UU45B	70-ZTNW-C5FQ	1780		2019/06/08 08:40:31 JST	3		11			703556063474		AMAZON_JP	移行された配送パターン
【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (90cm, ピンク花柄)	1021V82VDR5	74-6APK-MB74	1980		2019/10/21 23:02:56 JST	3		11			703556065874		AMAZON_JP	移行された配送パターン
【Smart-Bear】W104 ガールズ ボーイ 靴下 子供 キッズ 可愛い 花 厚い 暖かい 秋 冬 防寒 靴下 ソックス 女の子 男の子 ウールソックス 5足セット (S:13～15cm(1-3歳))	0824VLR0YL5	75-9G6N-8Y15	1180		2019/08/24 12:44:56 JST	3		11			703556064471		AMAZON_JP	移行された配送パターン
【Smart-Bear】W020 子供の靴下 キッズ 子供 靴下 かわいい 熊 キッズ 無地 通気 女の子 男の子 5足セット (L)	0611V8IRCY8	78-4IOZ-0IOA	999		2019/06/11 11:55:42 JST	3		11			703556063597		AMAZON_JP	移行された配送パターン
【Smart-Bear】W020 子供の靴下 キッズ 子供 靴下 かわいい 熊 キッズ 無地 通気 女の子 男の子 5足セット (M)	0611V8IBEQI	7P-W5QU-9AH9	999		2019/06/11 11:55:42 JST	3		11			703556063580		AMAZON_JP	移行された配送パターン
【Smart-KM】T001 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, XL)	0509VEK2HSR	7R-CZ5K-RYAJ	1580		2019/05/09 23:21:33 JST	1		11			B077TTV93C		AMAZON_JP	移行された配送パターン
